Text;Class
Pleno 2016 e você para cadastrar uma conta no @BancodoBrasil tem que ir até a agência e assinar um papel. Igualzinho quando abriu em 1808.;0
@BancodoBrasil Após + de 40 minutos de espera, gerente disse que o sindicato tinha 'mandado' fechar por problemas c/ ar condicionado. Pode?;0
@BancodoBrasil Segurança  agredindo verbalmente quem perguntava motivo do fechamento. Começaram feriado 2 dias mais cedo?;0
@BancodoBrasil Total desrespeito com clientes. Ninguém ou nada informando motivo do fechamento.;0
Ag. da av. Imperador ( @BancodoBrasil) em #Fortaleza, abrindo hoje depois  das 13h, horário em que gerente e funcio… https://t.co/PNfD5YqH26;1
@BancodoBrasil Assim é fácil. Prender o dinheiro da Pessoa Jurídica é fácil. Quero ver gerir negócio com seriedade. Deveria fechar de vez.;0
@BancodoBrasil Criam as regras para a PJ e a gente tem que se virar, só que dependemos de Registro no RCPJ e daí ficamos a ver navios;0
Trabalhando ainda (at @BancodoBrasil - Sede V in Brasília, DF) https://t.co/DIWfP7axuv;1
@BancodoBrasil melhor banco 👌👍;1
@thiagocanto_ uma das melhores coisas que o @BancodoBrasil  fez;1
Ativos S/A, eu não me chamo Lucas e não tenho pendências com o @BancodoBrasil, todo dia uma sms pra atrapalhar minha música;0
Pra que eu tenho biometria cadastrado no @BancodoBrasil se saco sem cartão e com biometria não funciona pra clientes poupança?;1
I'm at @BancodoBrasil Ceará Mirim in Ceará Mirim, RN https://t.co/WFOoMqjUlo;1
@BancodoBrasil 1 hora e nada. Segunda vez que tento pegar meu cartão https://t.co/8oUnEEOobU;0
Na última vez que estive na minha agência do @BancodoBrasil reclamei por haver apenas 3 caixas atendendo. Hoje, tem só dois hahaha.;0
@BancodoBrasil  Atendimento Péssimo filas enormes caixas não Funcionan em Natal. Não tem ninguém pra atender https://t.co/LKBCEnwFoo;0
@BancodoBrasil  em Natal agência Centro caixas eletrônicos estão sem Funcionar. Absurdo;0
@BancodoBrasil todos os caixas do Banco do Brasil no centro dá Cidade estão sem Funcionar, providencias;0
I'm at @BancodoBrasil in Goiânia, GO https://t.co/dhyW4Vq3eg;1
2017 vem aí e ainda precisamos de Java para acessar o internet banking do @BancodoBrasil e da @Caixa econômica.;0
@rfischmann @BancodoBrasil Nem com Java o meu está funcionando 😣;0
@BancodoBrasil tá bem difícil agência 7067x por favor verificar! Descaso!;0
@BancodoBrasil bloqueio da minha conta, cobrança indevida... mas deixe estar, estou com os protocolos do SAC fora as inúmeras de ligações;0
Alô @BancodoBrasil  vamos colocar mais gente p atendimento várias pessoas p atender com somente um atendimento!;0
Olha @BancodoBrasil, maior decepção/stress de 2016... gerente da minha conta é um grosso, houve perda de documentos básicos como cpf e RG +;0
I'm at @BancodoBrasil in São Paulo, SP https://t.co/inyLPqESvX;1
@BancodoBrasil minha esposa não consegue pois não envia o SMS;0
@BancodoBrasil tem que melhorar o atendimento;0
@rfischmann @BancodoBrasil banco do Brasil??? Sai fora que é rolo;0
@BancodoBrasil Eu já baixei o aplicativo BB, desbloqueei no caixa eletrônico e não funciona 😯 Já fui na agência recadastrar com ajuda e nada;0
2017 vem aí e ainda precisamos de Java para acessar o internet banking do @BancodoBrasil.;0
@BancodoBrasil fui destratado por um dos seus funcionários (como se fosse novidade), por favor invista mais em treinamento;0
@BancodoBrasil eu sim, mas os idosos tem muita dificuldade e não tem um funcionário que ajude eles. É falta de respeito com o correntista;0
Porque o atendimento do @BancodoBrasil é tão precário? Cliente a 7 anos, e os atendentes são tão mal educados!;0
@BancodoBrasil Ah e o caso da senha no APP quero resolver também. 😔;1
Um banco que quer ser digital e nem pra acessar uma conta online não da. Vou te contar @BancodoBrasil;0
Qual é a do espirito na foto?@BancodoBrasil https://t.co/M0oHILMKYr;1
I'm at BB CENOP Operações - @bancodobrasil in Curitiba, PR https://t.co/6MpwvFKhCN;1
Parece piada o @BancodoBrasil ligar oferecendo seguro residencial, sendo que  eles não liberam o dinheiro do financiamento imobiliário;0
@BancodoBrasil Horrível receber uma impresso para PJ de 05/12 em 27/12 com uma forma de ameaça de um Banco que tem um lema que não vive😡😡😡😡😡;0
@bruonceee @anthonyouantoni @BancodoBrasil AAAAH VCS SÃO MUITO FOFOS, MDS <3 <3;1
@anthonyouantoni @BancodoBrasil lindo ❤❤❤;1
A hora q consigo carona p/ desblok meu cartão do @BancodoBrasil 19hs nem cxa eletronico do bco tava liberado. Ta d rosca. Só ate 16hs cxa tb;0
Eu te amooooooo demaissssssss @bancodobrasil 💛💙💛💙;1
@lucasteske em média, a cada 1000 USD, você sai ganhando 260 BRL a mais no @BancodoBrasil do que no @itau;1
@barongello @BancodoBrasil @itau bom saber. Vou migrar então pro BB;1
@lucasteske pra mim, paguei 10 BRL de taxa a menos na ordem no @BancodoBrasil do que no @itau (+);1
@lucasteske pra empresa custou 10 USD a menos mandar pro @BancodoBrasil do que pro @itau (+);1
@lucasteske não tive problemas em receber a ordem no @BancodoBrasil. Levou 3 dias úteis a mais do que no @itau, mas veja os benefícios: (+);1
@Bradesco @BancodoBrasil me senti constrangido, a gerente nem quis me atender, provavelmente pela minha classe social, já que aquela agencia;0
O @BancodoBrasil  do Norte Shopping, em Natal, tá de parabéns #sqn. Sete caixas e NENHUM, eu disse NENHUM faz  saque.;0
Pq o app do @BancodoBrasil sempre dá erro hein??? Que saco!!!;0
@BancodoBrasil obrigado;1
@BancodoBrasil só esqueci de avaliar meu atendimento q foi excelente! Erica ajudou bastante com meu pequeno problema e resolveu super bem :D;1
@BancodoBrasil biometria seria excelente se funcionasse.;0
Alô @BancodoBrasil fui na agência e ja peguei o novo cartao obrigado pela ajuda;1
@BancodoBrasil vou abrir então  me ajudaria muito. funciona  pra qlq  lugar do país?  estou em Itanhaém!!!;1
@BancodoBrasil mentira estou quase três dias querendo abrir a minha conta e nada.;0
Tudo isso devido às mentiras, corpo mole e incompetência de um gerente do @BancodoBrasil ...;0
Depois de chutar o pau na barraca na agência do @BancodoBrasil da Deodoro, a minha conta foi aberta no dia seguinte... Vou denunciar!;0
Mesmo o meu PJ sendo ME e ñ Ltda, o @BancodoBrasil enviou o meu processo à central no PR... E pra piorar, eles perderam os meus documentos!;0
E o pior: o novo edital estadual de Cinema também deve atrasar... Tudo isso devido às mentiras e corpo mole de um gerente do @BancodoBrasil;0
O @BancodoBrasil demorou 40 dias para abrir a conta de 'Chorando Se Foi'. Resultado: o filme vai atrasar 6 meses.;0
@BancodoBrasil vai tomar no cu, morreu gente pra caralho isso que faz 2016 inesquecível;0
@BancodoBrasil  to chegando com os refri rapaziada;1
@BancodoBrasil Linda a mensagens;1
@BancodoBrasil cadê vcs? Tão de férias? Ficaram de me dá uma resposta hoje.;1
@BancodoBrasil Imposto é roubo;0
esse atendimento on line do @BancodoBrasil é só amor né gente? ❤;1
sera q se eu marcar o @BancodoBrasil e falar q o atendimento do protocolo 122700 foi ótimo, fica tudo certo?;1
terminal de senhas c problema e me mandam aguardar. o mín q poderiam fazer é me tratar como prioridade, já q eu cheguei ants @BancodoBrasil;0
Aquele banco que não te presta o mínimo do serviço respeitoso com atendentes ignorantes e gente que não sabe lidar com gente @BancodoBrasil;0
Vc chega no @BancodoBrasil e não tem sistema p senha. Te mandam aguardar. Depois chegam dez com senha e vc vai pro final da fila. Tá certo;0
Os atendentes da Agência @BancodoBrasil aqui na Rua da Assembleia-RJ altamente ineficientes, tem que a supervisora resolver tudo!Que é isso?;0
@BancodoBrasil  Obrigado pela atenção😉;1
@BancodoBrasil Miami ainda te rouba US$ 40 por uma transferência não realizada;0
@marisascruz @BancodoBrasil Corporativismo criminoso não pode ficar impune. Onde está o RH do BB? Aparelhado?;0
O @BancodoBrasil Miami te trata como terrorista e fica questionando a natureza das transações do cliente.;0
O @BancodoBrasil nos EUA é um banco colonizado que morre de medo das autoridades americanas. Não está nem aí para os clientes;0
alo meu banco predileto, preciso da sua ajuda @BancodoBrasil;1
Jamais abram uma conta no @BancodoBrasil Miami. O atendimento é péssimo e os gerentes totalmente despreparados.;0
@CitiBrasil Liguei e informaram que não poderiam liberar por uma política de segurança. Acabei usando meu cartão do @BancodoBrasil .;1
Melhor Propaganda ❤️ Amo a música! @BancodoBrasil Não da nem vontade de pular uma propaganda dessa ❤️❤️❤️ https://t.co/a5LWF9EaJc;1
@BancodoBrasil paga uma garota pra ficar com cara de bosta entregando senha e não paga pra ajudar os velho;0
PQP @BancodoBrasil deixa de ser um arrombado mão de vaca e põe gente pra ajudar os velho nos caixa eletrônico;0
@bancodobrasil ou, já que vocês são imprestaveis pelo telefone será q por aqui cês conseguem me ajudar?;0
@SandraRaissa @BancodoBrasil Pior que antiamente n gostava da Caixa. Recentemente fui no BB do Grajaú e o funcionário desanimadão p falar.;0
Não é possível essa demora, eu cheguei aqui há 15min e ainda estão com a mesma pessoa em atendimento @BancodoBrasil;0
EU ODEIO O @BancodoBrasil COM TODAS AS MINHAS FORÇAS! SÓ GENTE INCOMPETENTE #bacodobrasil;0
Aquela sensação boa de ter sido bem, e de forma rápida, atendido no @BancodoBrasil! :);1
@BancodoBrasil acho q foi segunda feira. Perguntaram o q poderiam Fazer por mim. Pedi para transferi 100 mil para minha conta.Até agora nada;1
@BancodoBrasil agência 3515, Fortaleza,uma hora de espera e o gerente mandou um recado q só poderia atender em 30 minutos. Desrespeito total;0
Eu fui fazer horário de almoço 1h mais tarde pra resolver coisas no @BancodoBrasil e a fila está imensa;0
I'm at @BancodoBrasil in Goiânia, GO w/ @binhocpb23 @gabrieltemp @fabiocq @derixin @gabrielmanga18 https://t.co/PmObBnfkgH;1
I'm at @BancodoBrasil in Santos, São Paulo https://t.co/RwgTRbtXw1;1
@BancodoBrasil Obrigada;1
@BancodoBrasil Obrigado sempre responde com agilidade. Aprende @Caixa;1
@BancodoBrasil Acabei de abrir a minha conta Fácil pelo celular. Foi bem fácil, espero gostar dos serviços prestados. =D;1
@BancodoBrasil Falta d segurança é em todos pontos d auto atendimento,em caso d ocorrência o cidadão é o único vulnerável,câmera é p/ depois;0
Na moral, deem aumento pra quem cuida das contas do @nubankbrasil e @BancodoBrasil no tt, eles merecem, super educados;1
@BancodoBrasil pq seu site é tao porco?;0
I'm at @BancodoBrasil in João Pessoa, PB https://t.co/hDhkMkq4DE;1
@BancodoBrasil Um banco que não se importa em ideias e soluções,motivo: público!!!;0
@BancodoBrasil parabéns pelo ar potente;1
I'm at @BancodoBrasil in Itaguaí, RJ w/ @igorgab_ https://t.co/Nbhz3fsdbl;1
🌚 (at @BancodoBrasil in Itaguaí, RJ) https://t.co/lIEzcpdbJV;1
@BancodoBrasil De que adianta, todo ano no Natal esses governantes malditos soltam os bandidos, o bendido indulto natalino.que explodam tudo;0
Não prestam pra resolver nada pelo telefone né @BancodoBrasil. A mulher aparentemente botou a ligação no mudo. Paciência.;0
Sofrendo com esse atendimento por telefone do @BancodoBrasil só queria a fatura do cartão de crédito, é pedir demais?;0
I'm at BB CENOP Operações - @bancodobrasil in Curitiba, PR https://t.co/Gi0Gx310f7;1
@BancodoBrasil o banco mais safado do mundo.. agência Juvevê a pior do universo...;0
@HackbartAline @rosaneoliveira @BancodoBrasil é ridículo nao conseguir  pagar via internet...;0
@BancodoBrasil o aplicativo não está funcionando??? Não consigo entrar tem dias...;0
@BancodoBrasil obrigado migo, nem te conheço e ja te adoro pacas ❤;1
@BancodoBrasil Governo tem que ter vergonha na cara e peitar a criminalidade praticada pelos juros bancários absurdos! Os estatais tb!;0
Oi sumido @BancodoBrasil queria saber porque essa demora toda pra chegar um cartão;0
@BancodoBrasil olá banco, maravilhoso, só que não, de que adianta o Cod de rastreamento do cartão se ele não funciona!?;0
@BancodoBrasil parabéns por deixar várias pessoas desempregadas;0
@BancodoBrasil elo é uma bosta. ♡;0
@BancodoBrasil Fazer 1 oração tb vale,responsabilidade dos banqueiros c/ caixas eletrônicos é ZERO e os seguros ainda pagam os sinistros?!?;0
@BancodoBrasil rosto escroto dá porra;0
I'm at @BancodoBrasil in São Paulo, SP https://t.co/OJU4jaXwXT;1
@maa_juh Então é muita incompetência do #socialmedia do @BancodoBrasil mesmo ... será que estão de recesso? #credo;0
To esperando vocês fazerem alguma coisa @BancodoBrasil;0
@BancodoBrasil obrigado;1
@BancodoBrasil mais o bradesco me da a opção do app e fazer tudo por ele #aff #ficadificil ser cliente de vcs;0
@BancodoBrasil  ta no @Snapchat amei muito;1
O @santander_br devia aprender com o @BancodoBrasil e colocar logo o dinheiro na nossa conta. É sempre uma eternidade..;1
@BancodoBrasil Esse APP precisa ser baixado no governo do Rio de Janeiro https://t.co/PgDQRjHqNr;1
@BancodoBrasil vcs me ofertaram um cartao de credito bandeira @cartaoelo Elo onde nenhum local aceita, nenhum site de compra;0
@BancodoBrasil @proconspoficial @BancoCentralBR nunca fui tao maltratada como fui agora na central do @BancodoBrasil  pessimo atendimento;0
Que raiva meu, eu vou passar a porcaria do celular na máquina e dá problema. Ligo no @BancodoBrasil eles nem sabem da existência do problema;0
.@BancodoBrasil o NFC funciona e depois para, tem que restaurar o app, palhaçada;0
De novo deu problema no Ourocard do @BancodoBrasil. Puta merda consertem essa porcaria vai tomar no cu;0
I'm at @BancodoBrasil in Itaguaí, RJ https://t.co/hWH26r3ai3;1
@BancodoBrasil seria bom otimizar como exibe o extrato do cartão no app do BB mesmo É bem confuso, poderia ser mais amigável;0
@BancodoBrasil já contribui com os juros do cheque especial. Astronômicos por sinal!;0
@BancodoBrasil a tecnologia é uma beleza quando funciona: leitor digital dos terminais e o leitor de código barras do app.;1
@BancodoBrasil ag 0286-0.Muriaé-Mg! É desumana a fila;0
@BancodoBrasil Com juros de quase 480% ao ano? Distribuidor de miséria isto sim.;0
arruma uma vaguinha de jovem aprendiz aê @BancodoBrasil;1
@BancodoBrasil saiam fora;0
I'm at @BancodoBrasil in Vitória, ES https://t.co/OKLSZ1D8YN;1
Eu não aguento mais a incompetência do @itau no seu internet banking. Olá @BancodoBrasil o que preciso para ativar meu app com vocês?;1
@BancodoBrasil AAAAAAAAAAAAAAAAAAA É ISSO QUE EU VEJO TODA NOITE E NÃO SEI O QUE É! AGORA EU SEI! OBRIGADOOOO;1
Parabéns @BancodoBrasil 👏;1
A @Caixa acabou de perder uma cliente! Sai da agência de Olinda - PE direto para agência do @BancodoBrasil e fui bem atendida!;1
@BancodoBrasil eu quero é que a minha conta bancária cresça ainda mais.;1
I'm at @BancodoBrasil in Brasília, DF https://t.co/0HoBkPEFxj;1
@BancodoBrasil ok. Aguardarei. Muito obrigado e boa tarde. 👍;1
Eu já usei muitos bancos, mas o atendimento do @BancodoBrasil é de longe O PIOR deles.;0
Oi galera do @BancodoBrasil enviei  umaS dms agora... obrigadoooo;1
@BancodoBrasil boa tarde! :);1
@BancodoBrasil gostaria de saber se tem como eu abrir uma conta poupança pelo celular;1
@BancodoBrasil depois de muita espera, o atendimento aconteceu.  Obrigada.;1
@insanotavio @BancodoBrasil OTÁRIO NÃO COMPRA CON CART@O VOU TE MATAR VOU SEQUESTRA. SEUS BENS TIROS DE CANHÃO.NÃO POSSO CONER PINTINHO BJS;0
@insanotavio @BancodoBrasil vá tomar no c. Ú. Tá sem lembranças. Ar puro.não piza no pé do fiabo ridicula EU NÀO BEBO NÃ DIRIJA.BOFETADAS;0
@BancodoBrasil conta encerrada ok v ver c@mara ja botei pra correr com cachorros e tudo.NICK O GULOSO ME DEFENDEU ATACOU TB NÂO;0
@BancodoBrasil muito obrigado amigo que cuida do perfil no tt, vc foi muito mais Educado que a moça que me atendeu quando eu liguei ❤;1
@BancodoBrasil obrigadinha. Já informei que a compra não foi feita por mim.;1
I'm at @BancodoBrasil in João Pessoa, PB https://t.co/nHkIKp7VvN;1
@BancodoBrasil Tá melhorando. Mas ainda sonho como um APP tão bom quanto o do NUBank!;1
@rafaelverardi @BancodoBrasil tens aplicativo no cel? Ele informa qual o teu gerente! Mas acho que consegue em qualquer agência!!!;1
40 min pra encerrar uma conta no @BancodoBrasil pior Banco.;0
@BancodoBrasil atendimento péssimo. Bem diferente do que mostra as propagandas. #Vergonha de ter conta nesse banco.;0
@BancodoBrasil obrigado deus põem aos essa conquista. Obrigado @BancodoBrasil pelo app.;1
I'm at @BancodoBrasil in Rio de Janeiro, RJ https://t.co/32MNSQzM4r;1
I'm at @BancodoBrasil in João Pessoa, PB https://t.co/IZLVMZFrY8;1
@BancodoBrasil  já consegui ir na agência e eles desbloquearam;1
Mais de 2h de espera no @BancodoBrasil  e nada de atendimento. E ainda querem fechar agência e reduzir funcionários. Brincadeira, né;0
@SandraRaissa @BancodoBrasil infelizmente entra ano e sai ano e o nosso país só está piorando por causa da corrupção generalizada!;0
@MPF_PGR esse indivíduo que trabalha no @BancodoBrasil o tal @RegisGalo_13 comete crimes reiterados usando informações da instituição.;0
@marisascruz A bactéria @RegisGalo_13 tem várias denúncias, aqui em BH, um lixo esquerdopata sujando o @BancodoBrasil. Procurado p/Polícia;0
@BancodoBrasil seu atendimento na agência vila Mariana é vergonhoso!!!;0
por isso q eu nunca vou largar o @BancodoBrasil o banco com as maiores facilidades que a gente respeita;1
@BancodoBrasil @luisprado1709 depois que faz a senha de 8 dig, só da erro quando pede pra digitar a senha normal de 6 dígitos. LIXO.;0
@luisprado1709 @BancodoBrasil mas porque só da erro, quando tento baixar esse app? nada vê. Porcaria.;0
@BancodoBrasil cadê os calendários 2017?? O ano acabou e não recebi o meu 😭 https://t.co/aKxjG8PUoP;0
@rafaelverardi @BancodoBrasil parece que até a tarde... mas acho que SÓ vai ficar parecendo. Tomara que queimem minha língua.;0
E a @glamboxbrasil cobrando no cartão da gente sem termos feito nenhuma compra. Ainda bem que o @BancodoBrasil comunica as compras por msn;1
@BancodoBrasil estou apaixonado por vc!! Tirar senha de atendimento pelo app e pagamento por NFC me conquistou!!!;1
I'm at @BancodoBrasil in Goiânia, GO https://t.co/xZhgggVkhb;1
I'm at @BancodoBrasil in Goiânia, GO https://t.co/zVLMYK83Zd;1
@BancodoBrasil agência shopping itaigara desde 10:11h esperando atendimento. Isso é que é respeito ao cliente.;0
@BancodoBrasil porque não basta dificultar a vida do correntista, tem que fuder de vez com o serumaninho;0
@BancodoBrasil nesse calor do inferno ir em banco como se não tivesse nada pra fazer por causa de cobrança indevida.;0
Mais um ano terminando e o atendimento aos correntistas do @BancodoBrasil só piora. Não há castigo maior do que ter que resolver algo aqui!!;0
Como que pode né,  toda vez que eu venho eu tomo um chá de banco. Duas atendentes para 07 mesas!!!!  @BancodoBrasil;0
O @BancodoBrasil tá de parabéns hein? -  0 pra esse atendimento eletrônico merda!;0
O @BancodoBrasil não é capaz de me ajudar com dúvidas simples. Estou esperando um atendimento a muito tempo! é foda!;0
o @BancodoBrasil é muito ruim. Fiz um investimento e resgatei menos do que investi!;0
I'm at @BancodoBrasil in Santos, São Paulo https://t.co/kLeeUisc0X;1
I'm at @BancodoBrasil in Brasília, DF https://t.co/6FLsHRnc38;1
@BancodoBrasil o aplicativo não atualiza gastos e limite disponível em tempo real como prometido.;0
@marisascruz @BancodoBrasil Um  funcionário  concursado do BB era  depositário d tanta credibilidade q o indicava para um bom casamento..;1
Mais 'quebrado' do que o teto do @BancodoBrasil da estação experimental. Bom dia!;0
Só queria tá viajando, difícil essa vida de Black 💔 (@ BB CENOP Operações - @bancodobrasil in Curitiba, PR) https://t.co/2fumPaiJoL;1
@marisascruz @BancodoBrasil sob a batuta dos comunas durante mais de 13 anos, só constatamos desonestidade.;0
@BancodoBrasil Bom dia!👌🏻😑;1
#MeuAmigoSecreto é funcionário do @BancodoBrasil e agora é uma Madalena arrependida. Eu avisei, é fria;0
Bloquiar cartão nas férias numa sexta-feira é duro heim @BancodoBrasil @VisaBR @Visa;0
@BancodoBrasil o meu dá erro... Não estou conseguindo;0
E essa quantidade pornográfica de propaganda do @BancodoBrasil? Irritante pela repetição e por ser incoerente com a atual piora do banco.;0
E essa propaganda do @BancodoBrasil com o mlk usando R$ 0,50 numa máquina prapegar o boneco?? Nem ha 10 anos qdo eu usava era barato assim;0
@marisascruz @Cris_duh_123 @regisgallo @BancodoBrasil E mais: Ele troca de conta aqui no Twitter toda hora....Fazemos a denúncia e nada....;0
@marisascruz @Cris_duh_123 @regisgallo @BancodoBrasil Ele fez a mesma coisa comigo... Denunciar ao BB não adianta nada ! São coniventes...;0
@lga_bh @Cris_duh_123 @MPF_MG @marisascruz @regisgallo @BancodoBrasil e então!  Queremos respostas ao fato!;0
@BancodoBrasil Abrir conta sem documento? Deve ser golpe.;0
@BancodoBrasil Obrigado novamente!;1
@BancodoBrasil Obrigado pela atenção.;1
@BancodoBrasil que propaganda bonita e bem elaborada! parabéns ao banco do Brasil;1
@BancodoBrasil massa memo;1
@BancodoBrasil cadê as funções pro Windows? O App ainda ta incompleto, como fazer a conta através do App de vocês, por favor adicionem isso!;0
Minha gente, dando uma lida sobre Contas Digitais ainda fico chateado que o @BancodoBrasil não aceita novas adesões. Vou pra outro banco!;0
Boa tarde, @BancodoBrasil! Grato pela atenção, mas não me ajudou! 😥 O(a) Senhor(a) fala algo, mas no site tem outra informação...;0
@BancodoBrasil o meu cartão não chegou até hj 😡😡 mais de um mês já;0
@BancodoBrasil BB terra de malfeitores. Nunca mais!;0
@BancodoBrasil Recusem Temer e Globo #RalaTemer;0
@BancodoBrasil Então não é 'gratuito', deveriam colocar um asterisco (*) ao lado e explicar abaixo como funciona. Mesmo assim, obrigado!;1
@BancodoBrasil Grossa merda de BB, Banco de merda de ladrões e incompetentes;0
@BancodoBrasil sim fui atendida. Obrigada;1
Como presente de natal, o @BancodoBrasil poderia estornar meus 300 reais que ja está por analise faz 2 meses e ainda não foi devolvido :);0
Achei essa ferramenta de 'sonhos' do @BancodoBrasil maravilhosa. Já criei uns 3 sonhos lá e já tá tudo programado pra 2017 <3;1
@BancodoBrasil obrigada pelas informações.  Mas no aplicativo do Banco do Brasil que tenho no celular pede pra acessar: ag. Conta e 8digitos;1
@BancodoBrasil e a globo como sempre usando o esquema do golpe de 64: desinformar, ainda bem que ninguém mais acredita na suas falácia.;0
@BancodoBrasil tô triste pq vcs vão fechar a agência aqui se perto de casa :(;0
@BancodoBrasil lutando contra o golpista e o teu desmanche!!;0
@marisascruz @LimaDoc @GordonBanks22 @regisgallo @BancodoBrasil 2014? Hoje sabemos em que nível está o corporativismo no BB.;0
@TO_DE_OLHO @lgcomin @BancodoBrasil @Val_Marchiori ESSE BANCO ESTA CHEIO DE MENSALEIRO E PETROLEIROS DO PT,DÁ CREDITO ATÉ PARA CALOTEIRO.;0
@marisascruz @BancodoBrasil  Boa noite Marisa Feliz Natal  minha guerreira,;1
@marisascruz @BancodoBrasil Vergonha. Vc não acionou a Justiça?;0
@BancodoBrasil Obrigado;1
@marisascruz @BancodoBrasil tive uma conta encerrada ha muito tempo, esse delinquente usava os computadores da instituicao para buscar dados;0
@marisascruz @BancodoBrasil e olha que isso já vem sendo feito há muito tempo, se fosse uma instituição correta, já teria investigado isso.;0
@marisascruz @BancodoBrasil O BB precisa tomar as providências devidas. Isso é crime.;0
@marisascruz @BancodoBrasil bancos privados não acobertam funcionários delinquentes. Vergonha!!;0
@LeoMiranda__ @BancodoBrasil que bonito será q eu to atrapalhando o casalzinho aí;1
@marisascruz @regisgallo @BancodoBrasil Isso é muito sério...;0
@BancodoBrasil @marisascruz várias pessoa tiveram dados divulgados por um funcionário de vcs, eu mesmo fui vítima.;0
. @BancodoBrasil Já fiz a Portabilidade para um banco que me atende. Não se preocupe. Agora é tarde. Feliz natal.;1
@BancodoBrasil Para que serve o suporte telefônico de vcs, se não resolvem nada? Mais uma vez bloqueado para realizar transações pelo site.;0
@BancodoBrasil problema é controlar o juros de vcs, impossível;0
@BancodoBrasil Vamos lutar para que não sejam fechadas 400 agências do BB;0
@BancodoBrasil Obrigado!!! ☺️;1
@BancodoBrasil já resolvi tudo aqui.;1
@BancodoBrasil qual o número de telefone q se fala com uma pessoa e não uma máquina. Pvf.;1
@BancodoBrasil Grato pela atenção! Porém, no link que enviei no primeiro Tweet, deixa claro que a conta 'gratuita' tem cobrança de tarifas.;1
Um maior desgosto do ano de 2016 @BancodoBrasil;0
@mat_mour @BancodoBrasil vou denunciar esse banco e vc;0
@BancodoBrasil obrigado, já foi resolvido. Parece que o vilão por trás disso era a @Vivoemrede;1
@nubankbrasil : o cartão que tu avisa com quase um ano de antecedência e te deixa na mão. Voltando a usar @BancodoBrasil.;1
@ProconMaranhao @expebarroso @BancodoBrasil @BancoCentralBR muito obrigado!;1
@expebarroso @ProconMaranhao @BancodoBrasil @BancoCentralBR verdade!!!;1
. @BancodoBrasil bela bosta o app de vcs, pra fazer uma simples transação tem que assinar contrato, autenticar, ligar pro temer e pro Trump;0
@leandro__paixao @BancodoBrasil aora eles vao solucionar isso vaivser diferebtebeu sou todo poderisi BCI DE POVO BR NÉ NORA AGRADAR EXTRABGE;0
@BancodoBrasil Que fazer quando seu iPhone 7 não deixa mais fazer transações no app? Reclamar para espírito do Steve Jobs?;1
I'm at @BancodoBrasil in Itaguaí, RJ https://t.co/lOXqS5ymTA;1
